"","linenumber","word","sentiment"
"245",68,"posteriori",NA
"246",68,"form",NA
"247",68,"lie","anger"
"248",68,"lie","disgust"
"249",68,"lie","negative"
"250",68,"lie","sadness"
"251",68,"ready","anticipation"
"252",68,"priori",NA
"253",68,"mind",NA
"254",69,"regarded",NA
"255",69,"separately",NA
"256",69,"sensation",NA
"257",71,"call",NA
"258",71,"representations",NA
"259",71,"pure",NA
"260",71,"transcendental","positive"
"261",71,"meaning",NA
"262",72,"word","positive"
"263",72,"word","trust"
"264",72,"met",NA
"265",72,"belongs",NA
"266",72,"sensation",NA
"267",73,"existing",NA
"268",73,"mind",NA
"269",73,"priori",NA
"270",73,"pure",NA
"271",73,"form",NA
"272",74,"sensuous","joy"
"273",74,"sensuous","positive"
"274",74,"intuitions",NA
"275",74,"manifold",NA
"276",74,"content","joy"
"277",74,"content","positive"
"278",74,"content","trust"
"279",75,"phenomenal",NA
"280",75,"world",NA
"281",75,"arranged",NA
"282",75,"viewed",NA
"283",75,"relations",NA
"284",76,"pure",NA
"285",76,"form",NA
"286",76,"sensibility","positive"
"287",76,"call",NA
"288",76,"pure",NA
"289",76,"intuition","positive"
"290",76,"intuition","trust"
"291",77,"representation",NA
"292",77,"body",NA
"293",77,"understanding","positive"
"294",77,"understanding","trust"
"295",78,"belonging",NA
"296",78,"substance","positive"
"297",78,"force","anger"
"298",78,"force","fear"
"299",78,"force","negative"
"300",78,"divisibility",NA
"301",79,"belongs",NA
"302",79,"sensation",NA
"303",79,"impenetrability",NA
"304",79,"hardness","negative"
"305",80,"colour",NA
"306",80,"left",NA
"307",80,"empirical",NA
"308",81,"intuition","positive"
"309",81,"intuition","trust"
"310",81,"extension",NA
"311",81,"shape","positive"
"312",81,"belong",NA
"313",81,"pure",NA
"314",81,"intuition","positive"
"315",81,"intuition","trust"
"316",82,"exists",NA
"317",82,"priori",NA
"318",82,"mind",NA
"319",82,"mere",NA
"320",82,"form",NA
"321",82,"sensibility","positive"
"322",83,"real","positive"
"323",83,"real","trust"
"324",83,"object",NA
"325",83,"senses",NA
"326",83,"sensation",NA
"327",85,"science",NA
"328",85,"principles",NA
"329",85,"sensibility","positive"
"330",85,"priori",NA
"331",85,"call",NA
"332",86,"transcendental","positive"
"333",86,"aesthetic","positive"
"334",86,"science",NA
"335",86,"forming","anticipation"
"336",87,"transcendental","positive"
"337",87,"doctrine","trust"
"338",87,"elements",NA
"339",88,"contradistinction",NA
"340",88,"principles",NA
"341",88,"pure",NA
"342",89,"called",NA
"343",89,"transcendental","positive"
"344",89,"logic",NA
"345",91,"footnote",NA
"346",91,"germans",NA
"347",91,"people",NA
"348",91,"word","positive"
"349",91,"word","trust"
"350",92,"call",NA
"351",92,"critique","positive"
"352",92,"taste",NA
"353",92,"foundation","positive"
"354",93,"term",NA
"355",93,"lies",NA
"356",93,"disappointed","anger"
"357",93,"disappointed","disgust"
"358",93,"disappointed","negative"
"359",93,"disappointed","sadness"
"360",93,"hope","anticipation"
"361",93,"hope","joy"
"362",93,"hope","positive"
"363",93,"hope","surprise"
"364",93,"hope","trust"
"365",93,"eminent","positive"
"366",93,"analyst","anticipation"
"367",93,"analyst","positive"
"368",93,"analyst","trust"
"369",94,"baumgarten",NA
"370",94,"conceived",NA
"371",94,"subjecting",NA
"372",94,"criticism","anger"
"373",94,"criticism","negative"
"374",94,"criticism","sadness"
"375",94,"beautiful","joy"
"376",94,"beautiful","positive"
"377",95,"principles",NA
"378",95,"reason","positive"
"379",95,"elevating",NA
"380",95,"rules",NA
"381",95,"science",NA
"382",96,"endeavours",NA
"383",96,"vain",NA
"384",96,"rules",NA
"385",96,"criteria",NA
"386",97,"respect","anticipation"
"387",97,"respect","joy"
"388",97,"respect","positive"
"389",97,"respect","trust"
"390",97,"chief",NA
"391",97,"sources",NA
"392",97,"empirical",NA
"393",98,"serve","negative"
"394",98,"serve","trust"
"395",98,"determinate","anticipation"
"396",98,"determinate","trust"
"397",98,"laws",NA
"398",98,"priori",NA
"399",98,"judgement",NA
"400",99,"matters",NA
"401",99,"taste",NA
"402",99,"directed",NA
"403",99,"judgement",NA
"404",100,"forms",NA
"405",100,"proper","positive"
"406",100,"test",NA
"407",100,"correctness","trust"
"408",100,"principles",NA
"409",101,"account","trust"
"410",101,"advisable","positive"
"411",101,"advisable","trust"
"412",101,"term",NA
"413",101,"designating",NA
"414",102,"critique","positive"
"415",102,"taste",NA
"416",102,"apply",NA
"417",102,"solely",NA
"418",102,"doctrine","trust"
"419",103,"true","joy"
"420",103,"true","positive"
"421",103,"true","trust"
"422",103,"science",NA
"423",103,"science",NA
"424",103,"laws",NA
"425",103,"sensibility","positive"
"426",104,"nearer",NA
"427",104,"language",NA
"428",104,"sense","positive"
"429",104,"ancients",NA
"430",105,"division",NA
"431",105,"objects",NA
"432",105,"cognition",NA
"433",105,"aiotheta",NA
"434",105,"kai",NA
"435",106,"noeta",NA
"436",106,"share","anticipation"
"437",106,"share","joy"
"438",106,"share","positive"
"439",106,"share","trust"
"440",106,"speculative","anticipation"
"441",106,"philosophy",NA
"442",106,"employ","trust"
"443",106,"partly",NA
"444",107,"transcendental","positive"
"445",107,"partly",NA
"446",107,"psychological",NA
"447",107,"signification",NA
"448",110,"science",NA
"449",110,"transcendental","positive"
"450",110,"aesthetic","positive"
"451",111,"isolate","sadness"
"452",111,"sensibility","positive"
"453",111,"sensuous","joy"
"454",111,"sensuous","positive"
"455",111,"faculty","positive"
"456",111,"faculty","trust"
"457",111,"separating",NA
"458",112,"annexed",NA
"459",112,"perceptions",NA
"460",112,"conceptions",NA
"461",112,"understanding","positive"
"462",112,"understanding","trust"
"463",113,"left",NA
"464",113,"empirical",NA
"465",113,"intuition","positive"
"466",113,"intuition","trust"
"467",114,"intuition","positive"
"468",114,"intuition","trust"
"469",114,"belongs",NA
"470",114,"sensation",NA
"471",115,"remain",NA
"472",115,"pure",NA
"473",115,"intuition","positive"
"474",115,"intuition","trust"
"475",115,"mere",NA
"476",115,"form",NA
"477",116,"phenomena",NA
"478",116,"sensibility","positive"
"479",116,"afford","positive"
"480",116,"priori",NA
"481",117,"investigation","anticipation"
"482",117,"found","joy"
"483",117,"found","positive"
"484",117,"found","trust"
"485",117,"pure",NA
"486",117,"forms",NA
"487",118,"sensuous","joy"
"488",118,"sensuous","positive"
"489",118,"intuition","positive"
"490",118,"intuition","trust"
"491",118,"principles",NA
"492",118,"knowledge","positive"
"493",118,"priori",NA
"494",118,"space",NA
"495",119,"time","anticipation"
"496",119,"consideration",NA
"497",119,"proceed",NA
"498",122,"section",NA
"499",122,"space",NA
"500",125,"2",NA
"501",125,"metaphysical",NA
"502",125,"exposition",NA
"503",125,"conception",NA
"504",127,"means",NA
"505",127,"external",NA
"506",127,"sense","positive"
"507",127,"property",NA
"508",127,"mind",NA
"509",127,"represent",NA
"510",128,"objects",NA
"511",128,"space",NA
"512",129,"shape","positive"
"513",129,"dimensions",NA
"514",129,"relations",NA
"515",130,"determined","positive"
"516",130,"determinable",NA
"517",130,"internal",NA
"518",130,"sense","positive"
"519",130,"means",NA
"520",131,"mind",NA
"521",131,"contemplates",NA
"522",131,"internal",NA
"523",132,"intuition","positive"
"524",132,"intuition","trust"
"525",132,"soul",NA
"526",132,"object",NA
"527",133,"determinate","anticipation"
"528",133,"determinate","trust"
"529",133,"form",NA
"530",133,"contemplation","positive"
"531",133,"internal",NA
"532",134,"relates",NA
"533",135,"determinations",NA
"534",135,"mind",NA
"535",135,"represented","positive"
"536",135,"relations",NA
"537",135,"time","anticipation"
"538",135,"time","anticipation"
